StrandDecidingMethod	Sample	A2CEditingIndex	A2GEditingIndex	A2TEditingIndex	C2AEditingIndex	C2GEditingIndex	C2TEditingIndex	CellType	Age
StrandedData	Pericytes_wk10_B_3	0.045981248	1.125277584	0.044556845	0.054640389	0.049908567	0.189210938	Pericytes	wk10
StrandedData	Smooth-Muscle_wk6_M15_1	0.049454644	0.592254204	0.050808877	0.057578112	0.050644503	0.182910353	Smooth-Muscle	wk6
StrandedData	Smooth-Muscle_wk6_M15_2	0.042272906	1.038985055	0.041290221	0.062876414	0.053527905	0.181139675	Smooth-Muscle	wk6
StrandedData	Smooth-Muscle_wk6_M9_1	0.068121987	2.12091862	0.086125832	0.089336731	0.092961246	0.283782316	Smooth-Muscle	wk6
StrandedData	Smooth-Muscle_wk8_M10_1	0.054876738	1.005876945	0.060589067	0.065152213	0.061475044	0.230842596	Smooth-Muscle	wk8
StrandedData	Smooth-Muscle_wk8_M8_1	0.052581957	0.805207346	0.056877516	0.066627588	0.058027228	0.22551012	Smooth-Muscle	wk8
StrandedData	Smooth-Muscle_wk8_M8_2	0.037714577	0.584735429	0.044866437	0.050025356	0.043191053	0.167812988	Smooth-Muscle	wk8
StrandedData	Smooth-Muscle_wk10_A_2	0.075502538	1.983767694	0.069076818	0.076290063	0.080513256	0.285541358	Smooth-Muscle	wk10
StrandedData	Smooth-Muscle_wk10_A_3	0.043947611	1.184080162	0.050389511	0.05377969	0.051021172	0.186823444	Smooth-Muscle	wk10
StrandedData	Smooth-Muscle_wk10_A_4	0.048612142	1.449540496	0.055380694	0.060712073	0.059942809	0.202438874	Smooth-Muscle	wk10
StrandedData	Smooth-Muscle_wk10_B_1	0.056654126	0.93673852	0.062268685	0.067555292	0.062418666	0.231070234	Smooth-Muscle	wk10
StrandedData	Smooth-Muscle_wk10_B_3	0.041846285	1.094813274	0.050875173	0.055641756	0.052321598	0.184404163	Smooth-Muscle	wk10
StrandedData	Kidney-Prog_wk4_M1_1	0.046464335	0.548964162	0.05167065	0.066412609	0.053011493	0.196050124	Kidney-Prog	wk4
StrandedData	Kidney-Prog_wk4_M1_2	0.040121756	0.53891139	0.046478841	0.053222718	0.044691389	0.175365528	Kidney-Prog	wk4
StrandedData	Kidney-Prog_wk4_M14_1	0.054205248	0.508234011	0.076560306	0.050051968	0.046893105	0.183883069	Kidney-Prog	wk4
StrandedData	Kidney-Prog_wk6_M15_1	0.048066674	0.623331152	0.048757233	0.05935254	0.050733042	0.199691598	Kidney-Prog	wk6
StrandedData	Kidney-Prog_wk6_M15_2	0.045148354	0.533195492	0.052236015	0.059036021	0.05001592	0.198702146	Kidney-Prog	wk6
StrandedData	Kidney-Prog_wk6_M9_1	0.067440761	2.02504959	0.070340884	0.086089185	0.079253082	0.259100901	Kidney-Prog	wk6
StrandedData	Kidney-Prog_wk8_M10_1	0.050260171	0.996301634	0.057515075	0.063955248	0.057772823	0.210414243	Kidney-Prog	wk8
StrandedData	Kidney-Prog_wk8_M8_1	0.050477463	0.847247815	0.056367878	0.064318118	0.053726836	0.209111748	Kidney-Prog	wk8
StrandedData	Kidney-Prog_wk8_M8_2	0.039464097	0.591719994	0.045920324	0.050143076	0.043552459	0.174712938	Kidney-Prog	wk8
StrandedData	Kidney-Prog_wk10_A_2	0.056423592	1.490964145	0.061995589	0.07238513	0.070328233	0.233359973	Kidney-Prog	wk10
StrandedData	Kidney-Prog_wk10_A_3	0.040086619	0.825980619	0.047132956	0.051694883	0.04615123	0.174762857	Kidney-Prog	wk10
StrandedData	Kidney-Prog_wk10_A_4	0.040090994	1.057631426	0.046640206	0.052210968	0.047273804	0.180866467	Kidney-Prog	wk10
StrandedData	Kidney-Prog_wk10_B_1	0.053035911	0.746036378	0.060062385	0.067486201	0.058269133	0.214580381	Kidney-Prog	wk10
StrandedData	Kidney-Prog_wk10_B_3	0.041635535	0.808999397	0.046994304	0.047786127	0.049208339	0.177514723	Kidney-Prog	wk10
