	StrandDecidingMethod	A2CEditingIndex	A2GEditingIndex	A2TEditingIndex	C2AEditingIndex	C2GEditingIndex	C2TEditingIndex	CellType	Teratoma	Guide
MSC-Fib_ter2_NTC	StrandedData	0.035020672	0.588835974	0.038692816	0.041809543	0.038477536	0.14195272	MSC-Fib	ter2	NTC
MSC-Fib_ter3_AAVS1	StrandedData	0.032652605	0.669243965	0.037000349	0.041110288	0.039363706	0.13849266	MSC-Fib	ter3	AAVS1
MSC-Fib_ter3_ADAR1	StrandedData	0.030673904	0.376752197	0.03552262	0.037114958	0.030583612	0.134982846	MSC-Fib	ter3	ADAR1
MSC-Fib_ter3_ADARB1	StrandedData	0.03557113	0.669781775	0.036809632	0.041677202	0.037084828	0.145108458	MSC-Fib	ter3	ADARB1
MSC-Fib_ter3_ADARB2	StrandedData	0.034018674	0.618147668	0.037183245	0.040660899	0.038086156	0.140334539	MSC-Fib	ter3	ADARB2
MSC-Fib_ter3_NTC	StrandedData	0.033086052	0.669968774	0.037844058	0.042275973	0.037834216	0.142605039	MSC-Fib	ter3	NTC
MSC-Fib_ter4_AAVS1	StrandedData	0.034680867	0.801306457	0.03763437	0.042368285	0.038938285	0.142954377	MSC-Fib	ter4	AAVS1
MSC-Fib_ter4_ADAR1	StrandedData	0.032046311	0.433949979	0.03025226	0.039616192	0.033102528	0.129028058	MSC-Fib	ter4	ADAR1
MSC-Fib_ter4_ADARB1	StrandedData	0.036417689	0.769178071	0.044801678	0.044348993	0.039626033	0.152746924	MSC-Fib	ter4	ADARB1
MSC-Fib_ter4_ADARB2	StrandedData	0.034318292	0.725732211	0.035891495	0.040575065	0.037696298	0.135430137	MSC-Fib	ter4	ADARB2
MSC-Fib_ter4_NTC	StrandedData	0.033420392	0.695517082	0.037126845	0.041259334	0.038285938	0.140070042	MSC-Fib	ter4	NTC
MyoFib_ter1_AAVS1	StrandedData	0.034451197	0.687061027	0.039468032	0.041811991	0.039735203	0.152708192	MyoFib	ter1	AAVS1
MyoFib_ter1_ADAR1	StrandedData	0.029718199	0.656617859	0.031859369	0.042874211	0.036049568	0.129329926	MyoFib	ter1	ADAR1
MyoFib_ter1_ADARB1	StrandedData	0.031848676	0.630067229	0.035849945	0.037930418	0.036094926	0.134964534	MyoFib	ter1	ADARB1
MyoFib_ter1_ADARB2	StrandedData	0.031286626	0.606209863	0.035888809	0.040470767	0.036646082	0.135433441	MyoFib	ter1	ADARB2
MyoFib_ter1_NTC	StrandedData	0.032853761	0.675486531	0.036817877	0.040946355	0.037113367	0.138877279	MyoFib	ter1	NTC
MyoFib_ter2_AAVS1	StrandedData	0.027093201	0.65710753	0.037374738	0.03866317	0.036120459	0.138996885	MyoFib	ter2	AAVS1
MyoFib_ter2_ADAR1	StrandedData	0.035897719	0.573335439	0.027615918	0.038025997	0.039420897	0.128265454	MyoFib	ter2	ADAR1
MyoFib_ter2_ADARB1	StrandedData	0.038366145	0.570117955	0.031005228	0.034431624	0.030911296	0.139926285	MyoFib	ter2	ADARB1
MyoFib_ter2_ADARB2	StrandedData	0.033288062	0.614862475	0.042097762	0.041223662	0.035896036	0.136319227	MyoFib	ter2	ADARB2
MyoFib_ter2_NTC	StrandedData	0.032019115	0.583566793	0.036753321	0.039419056	0.035690995	0.135024761	MyoFib	ter2	NTC
MyoFib_ter3_AAVS1	StrandedData	0.034127268	0.809659523	0.033988021	0.039474295	0.042287672	0.137286742	MyoFib	ter3	AAVS1
MyoFib_ter3_ADAR1	StrandedData	0.027080913	0.555348425	0.0376738	0.03786769	0.030694962	0.130025288	MyoFib	ter3	ADAR1
MyoFib_ter3_ADARB1	StrandedData	0.033354937	0.774261858	0.034675467	0.038265583	0.036929288	0.126048666	MyoFib	ter3	ADARB1
MyoFib_ter3_ADARB2	StrandedData	0.034088845	0.624528603	0.034302495	0.041637962	0.03504309	0.140996179	MyoFib	ter3	ADARB2
MyoFib_ter3_NTC	StrandedData	0.032090816	0.701043324	0.035604714	0.039422012	0.033680963	0.130421417	MyoFib	ter3	NTC
MyoFib_ter4_AAVS1	StrandedData	0.031628225	0.728555283	0.035032141	0.039538514	0.03814591	0.128518347	MyoFib	ter4	AAVS1
MyoFib_ter4_ADAR1	StrandedData	0.033201971	0.576301449	0.036370856	0.040682097	0.03353534	0.127722392	MyoFib	ter4	ADAR1
MyoFib_ter4_ADARB1	StrandedData	0.034573458	0.653502301	0.038639352	0.03682086	0.044999591	0.130795537	MyoFib	ter4	ADARB1
MyoFib_ter4_ADARB2	StrandedData	0.031487708	0.679479926	0.036943561	0.036850776	0.037624661	0.125614537	MyoFib	ter4	ADARB2
MyoFib_ter4_NTC	StrandedData	0.031547753	0.720718911	0.035199129	0.037863857	0.035285857	0.131537637	MyoFib	ter4	NTC
Muscle_ter1_AAVS1	StrandedData	0.032628778	0.428655963	0.036356425	0.039248096	0.033457914	0.130937307	Muscle	ter1	AAVS1
Muscle_ter1_ADAR1	StrandedData	0.024354603	0.389353981	0.025461349	0.033863485	0.029349679	0.13644257	Muscle	ter1	ADAR1
Muscle_ter1_ADARB1	StrandedData	0.032660914	0.368125755	0.036816228	0.043778045	0.033445019	0.123028132	Muscle	ter1	ADARB1
Muscle_ter1_ADARB2	StrandedData	0.034561955	0.526417973	0.032332872	0.034145037	0.034713923	0.127355943	Muscle	ter1	ADARB2
Muscle_ter1_NTC	StrandedData	0.034361276	0.420677083	0.040471763	0.03998419	0.037363255	0.134377179	Muscle	ter1	NTC
Muscle_ter2_AAVS1	StrandedData	0.039069041	0.372698448	0.0725325	0.022284123	0.055691691	0.194649908	Muscle	ter2	AAVS1
Muscle_ter2_ADAR1	StrandedData	0.026830405	0.198905799	0.028589273	0.03809797	0.028240104	0.129414768	Muscle	ter2	ADAR1
Muscle_ter2_ADARB1	StrandedData	0.030713843	0.324866456	0.037669051	0.038054831	0.034412537	0.134176071	Muscle	ter2	ADARB1
Muscle_ter2_ADARB2	StrandedData	0.027078466	0.546835014	0.030558919	0.038507784	0.032222825	0.124061685	Muscle	ter2	ADARB2
Muscle_ter2_NTC	StrandedData	0.029970714	0.392850202	0.041763783	0.038696636	0.035713633	0.133002382	Muscle	ter2	NTC
Muscle_ter3_AAVS1	StrandedData	0.025818479	0.331125106	0.033473938	0.031006035	0.023699202	0.107110689	Muscle	ter3	AAVS1
Muscle_ter3_ADAR1	StrandedData	0.026036016	0.149089428	0.040783742	0.037446839	0.025859148	0.124713826	Muscle	ter3	ADAR1
Muscle_ter3_ADARB1	StrandedData	0.028044476	0.35935897	0.032067505	0.034158631	0.033005437	0.1168629	Muscle	ter3	ADARB1
Muscle_ter3_ADARB2	StrandedData	0.027368716	0.359788399	0.035530042	0.040907021	0.031179286	0.119792247	Muscle	ter3	ADARB2
Muscle_ter3_NTC	StrandedData	0.028621461	0.370169884	0.031500988	0.037343702	0.031983961	0.120043825	Muscle	ter3	NTC
Muscle_ter4_AAVS1	StrandedData	0.027584381	0.594637293	0.030341982	0.033044706	0.026885485	0.119753107	Muscle	ter4	AAVS1
Muscle_ter4_ADAR1	StrandedData	0.056334854	0.543782935	0.039441064	0.05709066	0.062796141	0.142604529	Muscle	ter4	ADAR1
Muscle_ter4_ADARB1	StrandedData	0.029859228	0.470368239	0.034673563	0.034253781	0.030340251	0.121250642	Muscle	ter4	ADARB1
Muscle_ter4_ADARB2	StrandedData	0.014300014	0.519314221	0.021448488	0.04363319	0.029093025	0.109011628	Muscle	ter4	ADARB2
Muscle_ter4_NTC	StrandedData	0.027878292	0.412698801	0.034998887	0.036358666	0.031212585	0.121591566	Muscle	ter4	NTC
Pericytes_ter1_AAVS1	StrandedData	0.030621876	0.607741268	0.036995332	0.043160998	0.039863383	0.143176767	Pericytes	ter1	AAVS1
Pericytes_ter1_ADARB1	StrandedData	0.031744989	0.598645972	0.03995162	0.035768377	0.029063756	0.162428275	Pericytes	ter1	ADARB1
Pericytes_ter1_ADARB2	StrandedData	0.013832215	0.795992589	0.041485169	0.04607315	0.042530569	0.187570781	Pericytes	ter1	ADARB2
Pericytes_ter1_NTC	StrandedData	0.034894348	0.603803601	0.040765952	0.043256554	0.037038494	0.150342968	Pericytes	ter1	NTC
Pericytes_ter2_AAVS1	StrandedData	0.035618231	0.586989366	0.037071497	0.043193382	0.04172981	0.119240082	Pericytes	ter2	AAVS1
Pericytes_ter2_ADAR1	StrandedData	0.027006506	0.397224855	0.037189383	0.039811559	0.031731171	0.12993384	Pericytes	ter2	ADAR1
Pericytes_ter2_ADARB1	StrandedData	0.033898184	0.542465093	0.037242939	0.041378428	0.037452592	0.137929695	Pericytes	ter2	ADARB1
Pericytes_ter2_ADARB2	StrandedData	0.03379357	0.762005176	0.04344468	0.04456328	0.009906385	0.113805047	Pericytes	ter2	ADARB2
Pericytes_ter2_NTC	StrandedData	0.036025905	0.622781733	0.036101246	0.042113144	0.037512341	0.141081121	Pericytes	ter2	NTC
Pericytes_ter3_AAVS1	StrandedData	0.037755662	0.60010559	0.032447995	0.039192514	0.039192514	0.150572477	Pericytes	ter3	AAVS1
Pericytes_ter3_ADAR1	StrandedData	0.032844808	0.468229745	0.036327083	0.043374539	0.04034963	0.170255635	Pericytes	ter3	ADAR1
Pericytes_ter3_ADARB1	StrandedData	0.033831558	0.624647325	0.040906395	0.041102348	0.039234792	0.144283985	Pericytes	ter3	ADARB1
Pericytes_ter3_ADARB2	StrandedData	0.028357127	0.516352823	0.031009603	0.036908765	0.031011933	0.124773312	Pericytes	ter3	ADARB2
Pericytes_ter3_NTC	StrandedData	0.033713645	0.613920408	0.035273639	0.040055772	0.035976652	0.132765898	Pericytes	ter3	NTC
Pericytes_ter4_AAVS1	StrandedData	0.038626114	0.727839746	0.041634688	0.048346794	0.041733678	0.141346349	Pericytes	ter4	AAVS1
Pericytes_ter4_ADARB1	StrandedData	0.046902115	0.738256597	0.032836101	0.052474657	0.05724235	0.183420677	Pericytes	ter4	ADARB1
Pericytes_ter4_ADARB2	StrandedData	0.041587607	0.677311673	0.035091824	0.041345094	0.038721025	0.136374663	Pericytes	ter4	ADARB2
Pericytes_ter4_NTC	StrandedData	0.032639761	0.662119767	0.036120988	0.042047326	0.036979911	0.13802285	Pericytes	ter4	NTC
Smooth-Muscle_ter1_AAVS1	StrandedData	0.031885457	0.662333576	0.0397445	0.040019654	0.038463933	0.149686968	Smooth-Muscle	ter1	AAVS1
Smooth-Muscle_ter1_ADAR1	StrandedData	0.033854487	0.450533284	0.018468926	0.031427763	0.028285876	0.172608586	Smooth-Muscle	ter1	ADAR1
Smooth-Muscle_ter1_ADARB1	StrandedData	0.029769246	0.5133631	0.032745196	0.039746315	0.032404267	0.143283788	Smooth-Muscle	ter1	ADARB1
Smooth-Muscle_ter1_ADARB2	StrandedData	0.038348582	0.51840002	0.033876097	0.032106685	0.035672822	0.12959747	Smooth-Muscle	ter1	ADARB2
Smooth-Muscle_ter1_NTC	StrandedData	0.030489902	0.546151589	0.036266579	0.036997152	0.03576622	0.133139933	Smooth-Muscle	ter1	NTC
Smooth-Muscle_ter2_AAVS1	StrandedData	0.038322333	0.46637836	0.029808798	0.039203729	0.013071326	0.160974549	Smooth-Muscle	ter2	AAVS1
Smooth-Muscle_ter2_ADAR1	StrandedData	0.033104835	0.417549993	0.033353661	0.038780517	0.029911811	0.127634035	Smooth-Muscle	ter2	ADAR1
Smooth-Muscle_ter2_ADARB1	StrandedData	0.02560758	0.383535866	0.032807349	0.044558132	0.026409613	0.114615543	Smooth-Muscle	ter2	ADARB1
Smooth-Muscle_ter2_NTC	StrandedData	0.031924133	0.54877821	0.030516145	0.044282762	0.031906585	0.154105924	Smooth-Muscle	ter2	NTC
Smooth-Muscle_ter3_AAVS1	StrandedData	0.042018412	0.435651099	0.04010925	0.036909688	0.031083654	0.137786489	Smooth-Muscle	ter3	AAVS1
Smooth-Muscle_ter3_ADAR1	StrandedData	0.02762649	0.258564116	0.038146852	0.030987282	0.029640408	0.114422637	Smooth-Muscle	ter3	ADAR1
Smooth-Muscle_ter3_ADARB1	StrandedData	0.027163165	0.563573883	0.033356206	0.03922713	0.038270737	0.13143305	Smooth-Muscle	ter3	ADARB1
Smooth-Muscle_ter3_ADARB2	StrandedData	0.031172863	0.542418795	0.032444812	0.034588999	0.034588999	0.150351887	Smooth-Muscle	ter3	ADARB2
Smooth-Muscle_ter3_NTC	StrandedData	0.027332314	0.607333148	0.033007151	0.030627871	0.032868199	0.11835228	Smooth-Muscle	ter3	NTC
Smooth-Muscle_ter4_AAVS1	StrandedData	0.031069549	0.555706925	0.030252176	0.035226152	0.037504636	0.127318385	Smooth-Muscle	ter4	AAVS1
Smooth-Muscle_ter4_ADAR1	StrandedData	0.03093953	0.613475965	0.039530447	0.038591752	0.012282426	0.1261896	Smooth-Muscle	ter4	ADAR1
Smooth-Muscle_ter4_ADARB1	StrandedData	0.040308203	0.576706604	0.029459191	0.032961858	0.032961858	0.117621228	Smooth-Muscle	ter4	ADARB1
Smooth-Muscle_ter4_ADARB2	StrandedData	0.028731669	0.695804056	0.032752785	0.037346234	0.042515053	0.140047984	Smooth-Muscle	ter4	ADARB2
Smooth-Muscle_ter4_NTC	StrandedData	0.031091667	0.593366899	0.031789793	0.03562554	0.0328931	0.124547789	Smooth-Muscle	ter4	NTC
Kidney-Prog_ter1_ADARB2	StrandedData	0.016509823	0.285400659	0.049513121	0.062900274	0.040036605	0.131428571	Kidney-Prog	ter1	ADARB2
Kidney-Prog_ter1_NTC	StrandedData	0.024875923	0.434234318	0.034028529	0.037604906	0.033328996	0.128203759	Kidney-Prog	ter1	NTC
Kidney-Prog_ter2_ADARB1	StrandedData	0.030867272	0.48064874	0.037924662	0.037798478	0.035680735	0.13305975	Kidney-Prog	ter2	ADARB1
Kidney-Prog_ter2_NTC	StrandedData	0.028262109	0.397758549	0.036534028	0.038218023	0.029220504	0.122377167	Kidney-Prog	ter2	NTC
Kidney-Prog_ter3_ADARB2	StrandedData	0.041613454	0.453005988	0.049262733	0.054596966	0.039355166	0.13760769	Kidney-Prog	ter3	ADARB2
Kidney-Prog_ter4_ADARB1	StrandedData	0.030861476	0.593298359	0.033799671	0.037105201	0.044522937	0.136411488	Kidney-Prog	ter4	ADARB1
Kidney-Prog_ter4_NTC	StrandedData	0.027724968	0.44961546	0.0237652	0.020097271	0.032151756	0.088367609	Kidney-Prog	ter4	NTC
